bucket,createdAt,key,metaData.owner,metaData.size,mime_type,name,objectId,provider,updatedAt,url
lc-gluttony,2021-09-27T14:15:33.105Z,6wvnoH5leFq2/1Hpfh2kfmotTqoSHBjBzhgQ1lhLO8OCq/Everybody.m4a,unknown,2552223,audio/mp4,Everybody.m4a,6151d2055e0db15b17f0bdc8,s3,2021-09-27T14:15:33.105Z,https://lc-gluttony.s3.amazonaws.com/6wvnoH5leFq2/1Hpfh2kfmotTqoSHBjBzhgQ1lhLO8OCq/Everybody.m4a
lc-gluttony,2021-09-27T14:15:39.526Z,6wvnoH5leFq2/V51A3aOH2exCfaBFR5fyfsSaP12u812h/Let Her Go.m4a,unknown,3079628,audio/mp4,Let Her Go.m4a,6151d20b6b4e797ba255ef0a,s3,2021-09-27T14:15:39.526Z,https://lc-gluttony.s3.amazonaws.com/6wvnoH5leFq2/V51A3aOH2exCfaBFR5fyfsSaP12u812h/Let%20Her%20Go.m4a
lc-gluttony,2021-09-27T14:15:34.973Z,6wvnoH5leFq2/KPHuO56dEBAgfae8KOWOvhuEA2uPpYzL/Higher.mp3,unknown,3415396,audio/mpeg,Higher.mp3,6151d2066b4e797ba255eef0,s3,2021-09-27T14:15:34.973Z,https://lc-gluttony.s3.amazonaws.com/6wvnoH5leFq2/KPHuO56dEBAgfae8KOWOvhuEA2uPpYzL/Higher.mp3
lc-gluttony,2021-09-27T14:15:36.496Z,6wvnoH5leFq2/AhESprtdWd2C4lQ4jttxohQfYtvDsgxS/In The End.mp3,unknown,5191428,audio/mpeg,In The End.mp3,6151d2086b4e797ba255eef6,s3,2021-09-27T14:15:36.496Z,https://lc-gluttony.s3.amazonaws.com/6wvnoH5leFq2/AhESprtdWd2C4lQ4jttxohQfYtvDsgxS/In%20The%20End.mp3
lc-gluttony,2021-09-27T14:15:33.276Z,6wvnoH5leFq2/SVMyktAM0bkPb3EQV5e2jldcFOSavMHa/Faded.m4a,unknown,2590134,audio/mp4,Faded.m4a,6151d2055e0db15b17f0bdc9,s3,2021-09-27T14:15:33.276Z,https://lc-gluttony.s3.amazonaws.com/6wvnoH5leFq2/SVMyktAM0bkPb3EQV5e2jldcFOSavMHa/Faded.m4a
lc-gluttony,2021-09-27T14:15:34.968Z,6wvnoH5leFq2/BfssMfyTcu9SbVhVjFivFD6yoMxD5gqt/Five Hundred Miles.mp3,unknown,3105062,audio/mpeg,Five Hundred Miles.mp3,6151d2065e0db15b17f0bdd5,s3,2021-09-27T14:15:34.968Z,https://lc-gluttony.s3.amazonaws.com/6wvnoH5leFq2/BfssMfyTcu9SbVhVjFivFD6yoMxD5gqt/Five%20Hundred%20Miles.mp3
lc-gluttony,2021-09-27T14:18:58.054Z,6wvnoH5leFq2/a99bJ0bvvjVsj31AaG5PGGH2eVzug2KF/Something Just Like This.m4a,unknown,3015752,audio/mp4,Something Just Like This.m4a,6151d2d26b4e797ba255f05d,s3,2021-09-27T14:18:58.054Z,https://lc-gluttony.s3.amazonaws.com/6wvnoH5leFq2/a99bJ0bvvjVsj31AaG5PGGH2eVzug2KF/Something%20Just%20Like%20This.m4a
lc-gluttony,2021-09-27T14:15:39.736Z,6wvnoH5leFq2/YxwmVAfp4Sui7y811QfhKFtHyiEd4idG/Liekkas.m4a,unknown,3139830,audio/mp4,Liekkas.m4a,6151d20b5e0db15b17f0be05,s3,2021-09-27T14:15:39.736Z,https://lc-gluttony.s3.amazonaws.com/6wvnoH5leFq2/YxwmVAfp4Sui7y811QfhKFtHyiEd4idG/Liekkas.m4a
lc-gluttony,2021-09-27T14:18:50.652Z,6wvnoH5leFq2/BV7JHg1PG18oLmRCm9nwAxFyRFGsdSl2/Scarborough Fair.m4a,unknown,3042019,audio/mp4,Scarborough Fair.m4a,6151d2ca5e0db15b17f0bf2e,s3,2021-09-27T14:18:50.652Z,https://lc-gluttony.s3.amazonaws.com/6wvnoH5leFq2/BV7JHg1PG18oLmRCm9nwAxFyRFGsdSl2/Scarborough%20Fair.m4a
lc-gluttony,2021-09-27T14:18:48.055Z,6wvnoH5leFq2/H8uFAd4tzONdy7Gyu89qeDFptCeAkf1o/Please Don’t Go.m4a,unknown,2564659,audio/mp4,Please Don’t Go.m4a,6151d2c85e0db15b17f0bf2c,s3,2021-09-27T14:18:48.055Z,https://lc-gluttony.s3.amazonaws.com/6wvnoH5leFq2/H8uFAd4tzONdy7Gyu89qeDFptCeAkf1o/Please%20Don%E2%80%99t%20Go.m4a
